Entity,TL,Median_Age,Population.density,GDP.capita,Government.efficiency,CaseLog,Gini,Days
Algeria,1.742730328,28.1,18,3980.12,3.274635201,0.73,27.6,12
Argenti,-1.497120258,31.7,16,9887.79,2.336128838,1.0001,42.4,12
Armenia,0.486905515,35.1,100,4527.59,3.401135002,1.75177,32.4,16
Australia,0.24708734,38.7,3,53825.16,4.25568066,1.5923,34.7,27
Austria,0.730423398,44,107,50022.61,4.312938023,2.3278,30.5,27
Azerbaijan,,31.3,117,4689.38,3.804714013,0.869,31.8,17
Bahrain,,32.3,2224,25273.15,4.501680145,1.28984,,32
Belgium,,41.4,380,45175.59,3.925032421,2.01442,28.1,24
Bhutan,,27.6,20,3423.05,4.155651468,0.3079,38.7,22
Bolivia,,24.3,11,3670.96,3.185075937,0.6523,45.8,10
Bosnia and Herzegovi,-1.173635854,42.1,64,5741.76,2.53633299,1.101,33.1,12
Botswa,1.865904363,24.5,,,,,,
Brazil,-1.090946719,32.6,25,8796.91,2.496853694,1.1522,46.9,11
Bulgaria,,42.7,63,9518.44,2.978547758,1.26498,37.4,16
Cambodia,,25.3,92,1620.64,2.926579304,0.7519,30.8,11
Cameroon,,18.5,56,1514.6,3.447462648,0.6859,46.5,7
Cada,-0.034231097,42.2,4,46212.84,4.702926362,1.5894,34,22
Chile,-0.889357486,34.4,25,15399.24,4.148466375,1.6184,47.7,16
Chi,0.605901939,37.4,148,10098.87,4.006861266,0.96986,38.6,62
Colombia,-1.912583817,30,45,6508.13,3.039393647,0.97593,50.8,11
Costa Rica,,31.3,100,12014.8,3.481751984,1.17823,48.7,18
Croatia,,43,73,14949.76,2.492664975,1.4565,32.3,28
Czech Republic,-1.051712123,42.1,136,23213.95,3.681881098,1.8725,25.9,22
Denmark,,42.2,134,59795.27,4.202773903,2.1195,28.5,24
Dominican Republic,,28.1,223,8629.25,3.172680333,1.6514,45.3,14
Ecuador,-0.498395416,27.7,64,6249.39,2.879376765,1.8341,45,14
Egypt,,23.9,102,3046.59,3.261799561,0.59606,31.8,12
El Salvador,,27.1,308,4008.02,3.125414803,0.3558,40,3
Estonia,-1.116939747,42.7,29,23523.6,4.401768271,1.9919,34.6,24
Finland,-0.292051891,42.5,16,48868.74,5.320377733,1.9232,26.8,26
France,,41.4,118,41760.61,3.886942956,2.0178,32.3,27
Gabon,,18.6,8,8112.32,3.389185647,0.44951,38,9
Georgia,,38.1,57,4289.32,4.052733487,0.75048,36.5,22
Germany,0.526239441,47.1,235,46563.99,4.728817911,2.1238,31.4,27
Gha,3.491767272,21.1,130,2223.42,3.773055774,0.7799,42.8,3
Greece,-1.032745526,44.5,79,19974.37,2.762990227,0.7853,35.8,22
Honduras,,23,88,2548.46,3.432064003,0.629,50,9
Hungary,-1.587321602,42.3,104,17463.28,2.902592433,1.2629,30.9,17
Iceland,0.137132628,36.5,3,67037.34,4.613276837,2.20528,25.6,28
India,2.199249145,28.1,420,2171.64,3.992122169,,35.7,
Indonesia,1.527219314,30.2,144,4163.76,3.922269861,0.52292,38.1,7
Iran,0.734617378,30.3,51,5506.23,3.145049375,1.9021,38.8,31
Ireland,-0.136597718,20,70,77771.21,4.718019342,1.9765,31.9,23
Israel,-0.881851201,29.9,417,42823.31,3.748201607,2.0765,41.4,26
Italy,-0.265834655,45.5,201,32946.52,2.201114318,2.27202,34.7,34
Ivory Coast,0.579913096,20.9,,,,0.23668,41.7,3
Jamaica,,152,269,5460.98,3.204617537,0.54425,45.5,15
Japan,1.083211645,47.3,335,40846.78,4.634031911,0.79674,32.1,34
Jordan,,22.5,114,4386.61,4.158718249,1.05357,35.4,12
Kazakhstan,0.810248664,30.6,7,9139.11,,0.4907,26.5,10
Kenya,1.49138659,19.7,93,1997.55,3.825732816,,,
Kuwait,,29.3,240,29266.98,3.493208686,0.93529,,32
Kyrgyzstan,,26.5,33,1292.98,3.121744115,0.7753,26.8,6
Latvia,-0.113643145,43.6,29,18171.65,3.456399357,1.77276,35.1,20
Lebanon,,30.5,653,9654.81,2.686931697,1.2273,35.6,26
Lithuania,,43.7,42,19266.79,3.446601478,1.8535,37.7,17
Luxembourg,,39.3,242,113196.49,5.138307522,2.5134,31.2,27
Macedonia,,37.9,81,,3.881608093,1.5149,35.6,21
Malaysia,0.931023368,28.5,98,11136.81,5.096361681,1.4513,41,24
Malta,,41.8,1397,30650.17,3.889380342,1.5246,29.4,20
Mauritius,,35.3,623,11360.67,4.298001497,1.45798,35.8,8
Mexico,-0.892340456,28.2,66,10118.17,3.109504047,0.59966,43.4,8
Moldova,,26.3,119,3300.09,2.84528274,1.28295,36.7,15
Mongolia,,28.3,2,4132.66,3.202003665,0.49109,32.3,10
Montenegro,,40.7,45,8703.93,3.627117317,1.3794,31.9,10
Morocco,,29.3,83,3345.03,3.743168046,0.831,40.7,11
Mozambique,1.105984418,17.2,39,484.405,3.148153539,,,
mibia,,21.2,3,5842.06,4.008241473,0.31244,59.1,7
Netherlands,-1.070535119,42.6,409,52367.85,4.944898864,2.06653,28.6,25
New Zealand,,37.9,18,40634.14,5.228212773,1.3514,36.2,21
Nigeria,1.199983228,18.4,223,2222.01,3.020569217,,43,
Norway,,39.2,17,77975.43,5.096433424,2.13517,26.8,28
Oman,,25.6,16,17791.03,4.173837,0.8836,,
Pakistan,,23.8,250,1388.24,3.054124701,0.62003,30.7,9
Pama,,29.2,57,16245.45,3.602270628,1.62761,50.4,17
Paraguay,,28.2,18,5692.18,2.933365933,0.7552,47.9,12
Peru,-1.051575327,28,26,7046.79,2.80518837,1.1605,43.8,14
Philippines,,23.5,320,3294.47,3.384768242,0.7472,40.1,13
Poland,-0.770896641,40.7,121,14901.55,3.199944642,1.26105,32.1,15
Portugal,0.295052743,42.2,111,23030.79,3.228849265,2.0539,35.6,21
Qatar,2.019690819,33.2,249,69687.55,5.662815046,2.0668,41.1,26
Romania,,41.1,81,12482.97,3.216095861,1.30217,27.5,17
Russia,-0.591920245,39.6,9,11162.65,3.164031726,0.76231,37.7,9
Rwanda,,19,492,824.927,5.388244505,0.61793,50.4,7
Saudi Arabia,1.82765443,27.5,16,22865.18,4.418430699,1.1616,45.9,16
Senegal,,18.8,85,1427.87,3.988356001,0.69642,40.3,14
Serbia,,42.6,99,7397.69,2.650929063,1.1074,29.1,16
Seychelles,,35.4,218,17052.23,3.839127831,0.51451,46.8,13
Singapore,1.631476771,34.6,8240,63987.07,5.766091678,1.1123,46.4,59
Slovakia,-0.84951665,40.5,111,19547.66,2.636217896,1.36141,26.1,17
Slovenia,,44.5,103,26170.25,2.946271654,1.72542,25.7,22
South Africa,,27.1,49,6100.35,4.096786162,1.118,63,11
South Korea,0.924769361,41.8,512,31430.6,3.379812899,1.39349,31.6,37
Spain,-1.062267578,42.7,92,29961.11,3.216561508,2.4508,36,27
Sri Lanka,1.444244091,32.8,326,3946.59,3.865479418,0.58669,39.8,11
Swaziland,,21.7,67,,3.354239642,0.1636,51.5,5
Sweden,1.321119184,41.2,22,51241.91,,2.0992,27.2,28
Switzerland,,42.4,210,83716.81,5.27318957,2.4411,32.5,28
Thailand,1.063252798,37.7,136,7791.95,3.43156454,1.1948,36.5,16
Trinidad and Tobago,-0.557723473,36,273,16365.64,3.20767521,1.5638,40.3,14
Tunesia,,31.6,,,,,,
Turkey,1.199072895,30.9,108,8957.89,3.675668315,1.56343,41.9,10
UAE,1.801248703,30.3,,,,,,
Ukraine,-0.477058981,40.6,72,3592.17,2.866647266,0.69566,25.5,5
United Kingdom,-0.243066177,40.5,279,41030.23,4.823960274,1.7259,34.1,23
United States,-0.018878891,38.1,35,65111.6,4.263459752,2.0159,41.5,21
Venezuela,,28.3,31,2547.76,1.405870664,0.5224,50.3,11
Vietm,0.927599465,30.5,294,2739.82,3.407291069,0.16927,35.3,5
Afghanistan,,,60,513.108,,0.5149,,4
Albania,,,100,5372.74,,1.15264,,18
Andorra,,,165,,,1.6794,,
Angola,,,26,3037.98,,,,
Antigua and Barbuda,,,222,18109.1,,0.4293,,13
Bahamas,,,28,33261.32,,0.8038,,12
Bangladesh,,,1116,1905.72,2.852616337,,,
Barbados,,,668,18069.38,,1.6401,,10
Belarus,,,46,6603.92,,0.74257,,16
Benin,,,108,1216.63,3.328764165,,,
Bermuda,,,1153,,,0.8925,,8
Brunei,,,76,27871.45,,1.4795,,18
Burki Faso,,,77,717.962,,0.778455,,9
Cape Verde,,,138,3598.63,3.59391778,0.36633,,7
Cayman Islands,,,249,,,0.5714,,8
Central African Republic,,,8,447.992,,,,
Chad,,,13,861.246,2.796261118,,,
"Congo, Democratic Republic of the",,,38,500.554,,,,
"Congo, Republic of the",,,16,2534.49,,,,
Cote d'Ivoire,,,,1691.31,4.184318164,0.23668,41.7,3
Cuba,,,103,,,0.69708,,8
Cyprus,,,131,27719.69,3.885017549,,,
Djibouti,,,43,2936.21,,1.1726,,9
Dominica,,,96,8380.98,,1.5447,,5
Equatorial Guinea,,,50,8927.44,,0.65485,,9
Eritrea,,,30,342.6,,,,
Ethiopia,,,104,953.179,3.375877069,,,
Faroe Islands,,,35,,,0.33769,,5
Fiji,,,49,6379.71,,0.9427,,8
French Polynesia,,,67,,,1.1575,,
"Gambia, The",,,226,755.046,4.14073315,,,
Gibraltar,,,5615,,,0.5388,,
Greenland,,,0,,,0.5534,,
Greda,,,327,11381.38,,,,
Guam,,,307,,,1.14403,,
Guatemala,,,165,4616.85,,0.17311,,
Guernsey,,,,,,,,
Guinea,,,53,981.016,2.766527923,,,
Guya,,,4,5252.05,3.426269634,,,
Haiti,,,411,784.08,2.648886654,,,
Hong Kong,,,6791,49334.35,5.471259582,,,
Iraq,,,92,5738.45,,0.70729,,
Isle of Man,,,149,,,1.9136,,
Jersey,,,,,,,,
Kosovo,,,,4442.36,,1.5511,,
Liberia,,,45,703.826,3.904567143,,,
Liechtenstein,,,238,,,1.4517,,
Madagascar,,,47,463.869,2.762166851,,,
Maldives,,,1802,15562.51,,0.61062,,
Mauritania,,,5,1392.46,2.653240592,,,
Moco,,,19427,,,,,
Montserrat,,,49,,,,,
Nepal,,,198,1047.74,3.04307165,,,
Netherlands Antilles,,,,,,,,
New Caledonia,,,15,,,1.03436,,
Nicaragua,,,51,1919.17,2.800580399,,,
Niger,,,19,405.095,,,,
Palestine,,,820,,,0.67092,,
Papua New Guinea,,,19,2742.27,,,,
Saint Lucia,,,298,,,0.09114,,
Saint Vincent and the Gredines,,,285,,,,,
San Marino,,,556,47279.93,,1.8564,,
Somalia,,,25,,,,,
Sudan,,,23,714.295,,,,
Surime,,,4,6310.95,,0.8318,,
Syria,,,95,,,,,
Taiwan,,,658,24827.9,,0.63067,,
Tanzania,,,63,1104.79,3.498987023,,,
Timor-Leste,,,89,2262.84,,,,
Togo,,,146,671.4,,0.46616,,
Tunisia,,,72,3287.09,3.484548739,1.0105,35.8,15
Uganda,,,189,770.062,3.567911081,,,
United Arab Emirates,,,118,37749.88,,1.06417,,
Uruguay,,,19,17029.25,3.787633754,1.55014,,
Uzbekistan,,,75,1831.57,,0.33522,,
Vatican,,,1820,,,0.1164,,
Zambia,,,24,1307.03,3.986408085,,,
Zimbabwe,,,38,859.953,2.852291689,,,